,Clusters,BIC_scores,lnKfold,BIC_weights
0,2.0,247237.1625298744,-0.5259498421086785,2.9757016029744187e-09
1,3.0,247197.8969578947,-1.172403613806802,0.9999999970242508
2,4.0,247259.27046497303,-0.259996752634884,4.708821949081879e-14
3,5.0,247268.17574540025,-1.0843329405493787,5.484729258450336e-16
4,6.0,247288.6254331806,-0.14141859671892665,1.9886663018097104e-20
5,7.0,247331.1186770864,-0.5702955534688522,1.1783416845892776e-29
6,8.0,247361.10815699314,-0.29052135751352276,3.6235847402417785e-36
7,9.0,247383.3932222579,-0.5985085863187001,5.248050257907277e-41
8,10.0,247407.04962522275,-0.36811335947570345,3.828911697509405e-46
9,11.0,247421.6554777528,-0.38965968722640065,2.5790203684728416e-49
10,12.0,247442.25773094347,-0.3760972273358398,8.664277119166336e-54
11,13.0,247465.32253363045,-0.5081825920317338,8.49716531735866e-59
12,14.0,247484.9823757399,-0.664617869605747,4.572919920033878e-63
13,15.0,247499.566611435,-0.5711237541487812,3.113630362326432e-66
