,Clusters,BIC_scores,lnKfold,BIC_weights
0,2.0,1062975.302031611,0.023309124961657858,0.0
1,3.0,1061173.9897024084,0.031640102364556826,0.0
2,4.0,1059584.4608699314,0.0521421547971543,0.999999998194061
3,5.0,1059624.7252403065,0.04478115761539435,1.8059389448778877e-09
4,6.0,1059998.9817516492,0.05533414759648013,9.725998927949121e-91
5,7.0,1059804.9996705614,0.02806580947406923,1.2900540889307693e-48
6,8.0,1059815.528998482,0.07417500435777426,6.671037970332749e-51
7,9.0,1059847.1298645223,0.09690558526211507,9.165423571367861e-58
8,10.0,1059921.3079230061,0.07256733080844151,7.15470614569988e-74
9,11.0,1059912.9044465208,0.08866987890100861,4.779511760040622e-72
10,12.0,1059920.9169147734,0.037515997354465,8.699577478066839e-74
11,13.0,1059925.1891897768,0.039473191470338044,1.027508517668771e-74
12,14.0,1059963.9042380808,0.05328882292770371,4.026424019528719e-83
13,15.0,1059982.8973115801,0.03946423308418234,3.024307876964186e-87
