,Clusters,BIC_scores,lnKfold,BIC_weights
0,2.0,363512.29080331465,-0.7566522972270329,5.866977488441444e-129
1,3.0,363187.94138077786,-0.7460322051477456,1.5848808940166355e-58
2,4.0,362932.5394992367,-0.720755470203387,0.004568888298969856
3,5.0,362921.7716972277,-0.7354369828549565,0.9954261323258745
4,6.0,362946.1829407992,-0.7408228290605797,4.979375155622357e-06
5,7.0,363013.91554857057,-0.7242584646210961,9.754970223549447e-21
6,8.0,363021.2309460779,-0.706021540872086,2.5159821921382245e-22
7,9.0,363061.5080941363,-0.7535477104684752,4.514773722184927e-31
8,10.0,363078.49394742545,-0.7235150185205286,9.251343610063962e-35
9,11.0,363102.59450418886,-0.6737876723608114,5.405494192501319e-40
10,12.0,363133.2375465605,-0.7502073699299939,1.1989009373127375e-46
11,13.0,363162.2215365652,-0.7050974617362643,6.095226355381869e-53
12,14.0,363175.67387023364,-0.7266808863304274,7.308911411051854e-56
13,15.0,363209.9121360679,-0.7357245176863317,2.686010691943237e-63
