,Clusters,BIC_scores,lnKfold,BIC_weights
0,2.0,1434158.3225766802,0.4494311043205299,0.0
1,3.0,1432547.7026438096,0.4586245463367134,0.0
2,4.0,1430480.9796689053,0.4862948432568724,5.608908034447017e-12
3,5.0,1430429.166338782,0.480247246822735,0.9999999999943912
4,6.0,1431064.4808006056,0.4773462572750399,1.1046316394129667e-138
5,7.0,1430927.3426410963,0.4623959077111085,6.64340065491341e-109
6,8.0,1431034.8703737508,0.4775981474525075,2.971939561964366e-132
7,9.0,1431016.0164450086,0.555498751083103,3.690783587984116e-128
8,10.0,1431046.029728232,0.475660873819322,1.121545602543787e-134
9,11.0,1431108.3019824936,0.46468535602707794,3.369525412648508e-148
10,12.0,1431016.08687993,0.5466807568607388,3.563065711737267e-128
11,13.0,1431022.782956175,0.4520645081907806,1.252533499510741e-129
12,14.0,1430967.441139208,0.4787027040651605,1.3035035363687542e-117
13,15.0,1431030.157883609,0.4957216480526986,3.1357700338939707e-131
