,Concentration (mol/L),bic_lnKfold
0,0.005,-0.9145606000728435
1,0.087,-0.7353699314817403
2,0.169,-0.2939130388118462
3,0.252,0.052142154783860785
4,0.339,0.480247246822769
5,0.484,0.7079128831200965
