,Clusters,BIC_scores,lnKfold,BIC_weights
0,2.0,716913.3726991101,-0.32959820769065956,0.0
1,3.0,716177.1894020397,-0.3199580535318018,2.5519240487087676e-203
2,4.0,715244.2135494938,-0.29391303879891856,0.9999999987370656
3,5.0,715285.1932053142,-0.30414924601100846,1.2629344294068019e-09
4,6.0,715327.0413917016,-0.3414167849623692,1.0331481207343513e-18
5,7.0,715375.1512731845,-0.285533401477274,3.6917693812609976e-29
6,8.0,715411.8287743608,-0.3026340203034495,4.0069726497419935e-37
7,9.0,715399.5722559936,-0.3272744446566552,1.83774616528682e-34
8,10.0,715442.8083573715,-0.29915854428468025,7.510786231988196e-44
9,11.0,715460.055939525,-0.31268180475578594,1.3502697048336148e-47
10,12.0,715453.7191722562,-0.31097156264296266,3.209460630934033e-46
11,13.0,715490.2063672426,-0.29523483956576735,3.8312309407714225e-54
12,14.0,715533.453970758,-0.29646054068334715,1.5568277000970397e-63
13,15.0,715525.397132092,-0.30047931684026885,8.745020610098569e-62
