,Clusters,BIC_scores,lnKfold,BIC_weights
0,2.0,1998930.2868850497,0.6958201629681519,0.0
1,3.0,1996156.786355348,0.699183688344,3.121868482149815e-153
2,4.0,1995454.472180282,0.7079128831200965,1.0
3,5.0,1996133.783901,0.7062068443310617,3.0855607398199154e-148
4,6.0,1995991.603336611,0.7037480114874514,2.3091458996937745e-117
5,7.0,1995806.4694382318,0.697158831683716,3.670849789918429e-77
6,8.0,1995962.8401379415,0.6976102298812942,4.067247548125112e-111
7,9.0,1996023.238173775,0.7172331918719856,3.1191320836532046e-124
8,10.0,1995944.25575602,0.7423858069650786,4.4141579069982025e-107
9,11.0,1995983.6000164342,0.6885999326601465,1.2628456390572053e-115
10,12.0,1996026.2043411254,0.7039402208352021,7.07845881515396e-125
11,13.0,1996001.6544639627,0.6965782917870437,1.5166200779152004e-119
12,14.0,1995906.8467133702,0.7145890330705807,5.862977980599687e-99
13,15.0,1995827.603386133,0.7147114446059664,9.453402220272685e-82
