,Clusters,BIC_scores,lnKfold,BIC_weights
0,2.0,101138.78769803203,-0.9622366538328373,7.469961238353564e-48
1,3.0,100986.18005205909,-0.9453984415703061,1.0271825181019763e-14
2,4.0,100921.7613087347,-0.9145606000523308,0.9999999951070198
3,5.0,100960.03225233614,-0.9187527505327945,4.892943334621812e-09
4,6.0,100984.27743772927,-0.9354622146166218,2.659469853513282e-14
5,7.0,101034.8743907906,-0.9360331964928211,2.7403517607775887e-25
6,8.0,101057.40067327362,-0.9144257261497997,3.517922144545334e-30
7,9.0,101083.03351098824,-0.9168442218389274,9.554021985233353e-36
8,10.0,101113.513366729,-0.9320108295859612,2.2991624483010184e-42
9,11.0,101138.75174158618,-0.9306770476651695,7.605472341208002e-48
10,12.0,101164.63652213757,-0.9364378231315541,1.8210317250241013e-53
11,13.0,101185.1182601205,-0.9260782175503709,6.497774254417404e-58
12,14.0,101212.23549245358,-0.915238518571925,8.401028066984982e-64
13,15.0,101224.26445194914,-0.924528374136876,2.0524711895605502e-66
